speaker,cleaned_text,debate,sentiment
mediator_1,good evening from the health education campus of case western reserve university and the cleveland clinic i’m chris wallace of fox news and i welcome you to the first of the 2020 presidential debates between president donald j trump and former vice president joe biden this debate is sponsored by the commission on presidential debates the commission has designed the format six roughly 15 minute segments with two minute answers from each candidate to the first question then open discussion for the rest of each segment both campaigns have agreed to these rules for the record i decided the topics and the questions in each topic i can assure you none of the questions has been shared with the commission or the two candidates,first,2
mediator_1,this debate is being conducted under health and safety protocols designed by the cleveland clinic which is serving as the health security advisor to the commission for all four debates as a precaution both campaigns have agreed the candidates will not shake hands at the beginning of tonight’s debate the audience here in the hall has promised to remain silent no cheers no boos or other interruptions so we and more importantly you can focus on what the candidates have to say no noise except right now as we welcome the republican nominee president trump and the democratic nominee vice president biden,first,2
Joe Biden,how you doing man,first,2
Donald Trump,how are you doing,first,2
Joe Biden,i’m well,first,3
mediator_1,gentlemen a lot of people been waiting for this night so let’s get going our first subject is the supreme court president trump you nominated amy coney barrett over the weekend to succeed the late ruth bader ginsburg on the court you say the constitution is clear about your obligation and the senate’s to consider a nominee to the court vice president biden you say that this is an effort by the president and republicans to jam through on an appointment in what you call an abuse of power my first question to both of you tonight why are you right in the argument you make and your opponent wrong and where do you think a justice barrett would take the court president trump in this first segment you go first two minutes,first,3
Donald Trump,thank you very much chris i will tell you very simply we won the election elections have consequences we have the senate we have the white house and we have a phenomenal nominee respected by all top top academic good in every way good in every way in fact some of her biggest endorsers are very liberal people from notre dame and other places so i think she’s going to be fantastic we have plenty of time even if we did it after the election itself i have a lot of time after the election as you know so i think that she will be outstanding she’s going to be as good as anybody that has served on that court we really feel that we have a professor at notre dame highly respected by all said she’s the single greatest student he’s ever had he’s been a professor for a long time at a great school,first,4
Donald Trump,and we won the election and therefore we have the right to choose her and very few people knowingly would say otherwise and by the way the democrats they wouldn’t even think about not doing it the only difference is they’d try and do it faster there’s no way they would give it up they had merrick garland but the problem is they didn’t have the election so they were stopped and probably that would happen in reverse also definitely would happen in reverse so we won the election and we have the right to do it chris,first,3
mediator_1,president trump thank you same question to you vice president biden you have two minutes,first,2
Joe Biden,well first of all thank you for doing this and looking forward to this mr president,first,3
Donald Trump,thank you joe,first,2
Joe Biden,the american people have a right to have a say in who the supreme court nominee is and that say occurs when they vote for united states senators and when they vote for the president of united states they’re not going to get that chance now because we’re in the middle of an election already the election has already started tens of thousands of people already voted and so the thing that should happen is we should wait we should wait and see what the outcome of this election is because that’s the only way the american people get to express their view is by who they elect as president and who they elect as vice president,first,2
Joe Biden,now what’s at stake here is the president’s made it clear he wants to get rid of the affordable care act he’s been running on that he ran on that and he’s been governing on that he’s in the supreme court right now trying to get rid of the affordable care act which will strip 20 million people from having health insurance now if it goes into court and the justice i’m not opposed to the justice she seems like a very fine person but she’s written before she went in the bench which is her right that she thinks that the affordable care act is not constitutional the other thing that’s on the court and if it’s struck down what happens women’s rights are fundamentally changed once again a woman could pay more money because she has a preexisting condition of pregnancy they’re able to charge women more for the same exact procedure a man gets,first,2
Joe Biden,and that ended when we in fact passed the affordable care act and there’s a hundred million people who have preexisting conditions and they’ll be taken away as well those preexisting conditions insurance companies are going to love this and so it’s just not appropriate to do this before this election if he wins the election and the senate is republican then he goes forward if not we should wait until february,first,1
Donald Trump,there aren’t a hundred million people with preexisting conditions as far as a say is concerned the people already had their say okay justice ginsburg said very powerfully very strongly at some point 10 years ago or so she said a president and the senate is elected for a period of time but a president is elected for four years we’re not elected for three years i’m not elected for three years so we have the senate we have a president,first,2
Joe Biden,he’s elected to the next election,first,2
Donald Trump,during that period of time during that period of time we have an opening i’m not elected for three years i’m elected for four years joe the hundred million people is totally wrong i don’t know where you got that number the bigger problem that you have is that you’re going to extinguish 180 million people with their private health care that they’re very happy this,first,1
Joe Biden,that’s simply not true,first,2
Donald Trump,well you’re certainly going to socialist you’re going to socialist,first,2
mediator_1,gentlemen we’re now into open discussion,first,2
Joe Biden,open discussion,first,3
mediator_1,open discussion yes i agree go ahead vice president,first,3
Joe Biden,number one he knows what i proposed what i proposed is that we expand obamacare and we increase it we do not wipe any and one of the big debates we had with 23 of my colleagues trying to win the nomination that i won were saying that biden wanted to allow people to have private insurance still they can they do they will under my proposal,first,2
Donald Trump,that’s not what you’ve said and it’s not what your party is saying,first,1
Joe Biden,that is simply a lie,first,1
Donald Trump,your party doesn’t say it your party wants to go socialist medicine and socialist healthcare,first,2
Joe Biden,the party is me right now i am the democratic party,first,3
Donald Trump,and they’re going to dominate you joe you know that,first,2
Joe Biden,i am the democratic party right now,first,2
Donald Trump,not according to harris,first,2
Joe Biden,the platform of the democratic party is what i in fact approved of what i approved of now here’s the deal the deal is that it’s going to wipe out preexisting conditions and by the way the 200000 people that have died on his watch how many of those have survived well there’s seven million people that contracted covid what does it mean for them going forward if you strike down the affordable care act,first,2
Donald Trump,joe you’ve had 308000 military people dying because you couldn’t provide them proper healthcare in the military so don’t tell me about this,first,1
Joe Biden,i’m happy to talk about this,first,3
Donald Trump,and if you were here it wouldn’t be 200 it would be two million people because you were very late on the draw you didn’t want me to ban china which was heavily infected you didn’t want me to ban europe,first,2
mediator_1,all right gentlemen mr president,first,2
Donald Trump,you would have been much later joe much later,first,2
mediator_1,mr president,first,2
Donald Trump,we’re talking about two million people,first,2
Joe Biden,you’re not going to be able to shut him up,first,2
mediator_1,mr president as the moderator we are going to talk about covid in the next segment but go ahead,first,2
Joe Biden,let me finish the point is that the president also is opposed to roe v wade that’s on the ballot as well and the court in the court and so that’s also at stake right now and so the election is all,first,2
Donald Trump,you don’t know what’s on the ballot why is it on the ballot why is it on the ballot it’s not on the ballot,first,1
Joe Biden,it’s on the ballot in the court,first,2
Donald Trump,i don’t think so,first,1
Joe Biden,in the court,first,2
Donald Trump,there’s nothing happening there,first,1
Joe Biden,donald would you just be quiet for a minute,first,2
Donald Trump,you don’t know her view on roe v wade you don’t know here view,first,2
mediator_1,well all right all right let’s talk we’ve got a lot to unpack here gentlemen we’ve got a lot of time on healthcare and then we’ll come back to roe v wade,first,2
Joe Biden,all right,first,2
mediator_1,mr president the supreme court will hear a case a week after the election in which the trump administration along with 18 state attorney generals are seeking to overturn obamacare to end obamacare,first,2
Donald Trump,that’s right,first,3
mediator_1,you have spent the last week,first,2
Donald Trump,because they want to give good healthcare,first,2
mediator_1,if i may ask my question sir,first,2
Joe Biden,good healthcare,first,3
mediator_1,over the last four years you have promised to repeal and replace obamacare but you have never in these four years come up with a plan a comprehensive plan to replace obamacare,first,1
Donald Trump,yes i have of course i have the individual mandate,first,2
mediator_1,crosstalk 001126 when i finish i’m going to give an opportunity,first,2
Donald Trump,excuse me i got rid of the individual mandate which was a big chunk of obamacare,first,2
mediator_1,that’s not a comprehensive place,first,1
Donald Trump,that is absolutely a big thing that was the worst part of obamacare,first,0
mediator_1,i didn’t ask sir,first,2
Donald Trump,chris that was the worst part of obamacare,first,1
mediator_1,you’re debating him not me let me ask my question,first,2
Donald Trump,well i’ll ask joe the individual mandate was the most unpopular aspect of obamacare,first,2
mediator_1,mr president,first,2
Donald Trump,i got rid of it and we will protect people,first,1
mediator_1,mr president i’m the moderator of this debate and i would like you to let me ask my question and then you can answer,first,2
Donald Trump,go ahead,first,2
mediator_1,you in the course of these four years have never come up with a comprehensive plan to replace obamacare and just this last thursday you signed a largely symbolic executive order to protect people with preexisting conditions five days before this debate so my question sir is what is the trump healthcare plan,first,2
Donald Trump,well first of all i guess i’m debating you not him but that’s okay i’m not surprised let me just tell you something there’s nothing symbolic i’m cutting drug prices i’m going with favored nations which no president has the courage to do because you’re going against big pharma drug prices will be coming down 80 or 90 you could have done it during your 47 year period in government but you didn’t do it nobody’s done it so we’re cutting healthcare,first,2
mediator_1,what about preexisting conditions,first,2
Donald Trump,all of the things that we’ve done,first,2
Joe Biden,he has not done healthcare,first,2
Donald Trump,i’ll give you an example insulin it was destroying families destroying people the cost i’m getting it for so cheap it’s like water you want to know the truth so cheap take a look at all of the drugs that what we’re doing prescription drug prices we’re going to allow our governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do,first,1
mediator_1,okay like i say this is open discussion,first,2
Donald Trump,this is big stuff,first,3
mediator_1,sir you’ll be happy i’m about to pick up on one of your points to ask the vice president which is he points out that you would like to add a public option to obamacare,first,2
Joe Biden,yes,first,2
mediator_1,and the argument that he makes and other republicans make is that that is going to end private insurance,first,2
Joe Biden,it is not,first,2
mediator_1,if i start asking the question,first,2
Donald Trump,that’s not what your party says by the way,first,2
mediator_1,and it will end private insurance and create a government takeover of health,first,2
Joe Biden,it does not it’s only for those people who are so poor they qualify for medicaid they can get that free in most states except governors who want to deny people who are poor medicaid anyone who qualifies for medicaid would automatically be enrolled in the public option the vast majority of the american people would still not be in that option number one number two,first,2
Donald Trump,joe you agreed with bernie sanders who’s far left on the manifesto we call it and that gives you socialized medicine,first,2
Joe Biden,look hey,first,2
Donald Trump,are you saying you didn’t agree,first,2
Joe Biden,i’m not going to listen to him the fact of the matter is i beat bernie sanders,first,2
Donald Trump,not by much,first,2
Joe Biden,i beat him by a whole hell of a lot,first,2
Donald Trump,not by much,first,2
Joe Biden,i’m here standing facing you old buddy,first,2
Donald Trump,if pocahontas would have left two days early you would have lost every primary,first,0
Joe Biden,all he knows how to do,first,2
Donald Trump,on super tuesday you got very lucky,first,3
Joe Biden,look he’s the deal i got very lucky i’m going to get very lucky tonight as well,first,3
Donald Trump,with what,first,2
Joe Biden,and tonight i’m going to make sure,first,3
Donald Trump,with what,first,2
Joe Biden,because here’s the deal here’s the deal the fact is that everything he’s saying so far is simply a lie i’m not here to call out his lies everybody knows he’s a liar,first,1
Donald Trump,but you agree joe you’re the liar you graduated last in your class not first in your class,first,1
Joe Biden,god i want to make sure,first,2
mediator_1,mr president can you let him finish sir,first,2
Joe Biden,no he doesn’t know how to do that,first,2
Donald Trump,you’d be surprised you’d be surprised go ahead joe,first,2
Joe Biden,the wrong guy the wrong night at the wrong time,first,1
Donald Trump,listen you agreed with bernie sanders and the manifesto,first,2
Joe Biden,there is no manifesto number one,first,2
mediator_1,please let him speak mr president,first,2
Joe Biden,number two,first,2
Donald Trump,he just lost the left,first,1
Joe Biden,number two,first,2
Donald Trump,you just lost the left you agreed with bernie sanders on a plan that you absolutely agreed to and under that plan crosstalk 001510 they call it socialized medicine,first,1
mediator_1,mr president,first,2
Joe Biden,i’ll tell you what he is not for any help for people needing healthcare,first,2
Donald Trump,who is bernie,first,2
Joe Biden,because he in fact already has costs 10 million people their healthcare that they had from their employers because of his recession number one number two there are 20 million people getting healthcare through obamacare now that he wants to take it away he won’t ever look you in the eye and say that’s what he wants to do take it away,first,2
Donald Trump,no i want to give them better healthcare at a much lower price because obamacare is no good,first,1
Joe Biden,he doesn’t know how he doesn’t know how to do that,first,2
Donald Trump,i’ve already fixed it,first,1
Joe Biden,he has never offered a plan,first,2
Donald Trump,we’ve already fixed it to an extent obamacare as you might know but probably don’t obamacare is no good,first,1
mediator_1,gentlemen you realize if you’re both speaking at the same time let the president go ahead sir,first,2
Donald Trump,obamacare is no good we made it better and i had a choice to make very early on we took away the individual mandate we guaranteed preexisting conditions but took away the individual mandate listen this is the way it is and that destroyed … they shouldn’t even call it obamacare then i had a choice to make do i let my people run it really well or badly if i run it badly they’ll probably blame him but they’ll blame me but more importantly i want to help people okay i said “you’ve got to run it so well” and i just had a meeting with them they said the problem is no matter how well you run obamacare it’s a disaster it’s too expensive premiums are too high that it doesn’t work so we do want to get rid of it chris we want to get rid of that and give something that’s cheaper and better,first,1
mediator_1,i understand that sir but i have to give you roughly equal time,first,2
Donald Trump,go ahead,first,2
mediator_1,please let the vice president talk sir,first,2
Donald Trump,good,first,3
Joe Biden,he has no plan for healthcare,first,1
Donald Trump,of course we do,first,2
mediator_1,please,first,2
Joe Biden,he sends out wishful thinking he has executive orders that have no power he hasn’t lowered drug costs for anybody he’s been promising a healthcare plan since he got elected he has none like almost everything else he talks about he does not have a plan he doesn’t have a plan and the fact is this man doesn’t know what he’s talking about crosstalk 001714,first,1
mediator_1,all right i have one final question for you,first,2
Joe Biden,sure,first,2
mediator_1,mr vice president if senate republicans we were talking originally about the supreme court here if senate republicans go ahead and confirm justice barrett there has been talk about ending the filibuster or even packing the court adding to the nine justices there you call this a distraction by the president but in fact it wasn’t brought up by the president it was brought up by some of your democratic colleagues in the congress so my question to you is you have refused in the past to talk about it are you willing to tell the american tonight whether or not you will support either ending the filibuster or packing the court,first,2
Joe Biden,whatever position i take on that that’ll become the issue the issue is the american people should speak you should go out and vote you’re voting now vote and let your senators know strongly how you feel,first,3
Donald Trump,are you going to pack the court,first,2
Joe Biden,vote now,first,2
Donald Trump,are you going to pack the court,first,2
Joe Biden,make sure you in fact let people know your senators,first,2
Donald Trump,he doesn’t want to answer the question,first,2
Joe Biden,i’m not going to answer the question,first,2
Donald Trump,why wouldn’t you answer that question you want to put a lot of new supreme court justices radical left,first,2
Joe Biden,will you shut up man,first,1
Donald Trump,listen who is on your list joe who’s on your list,first,2
mediator_1,gentlemen i think we’ve ended this,first,2
Joe Biden,this is so unpresidential,first,1
Donald Trump,he’s going to pack the court he is not going to give a list,first,2
mediator_1,we have ended the segment we’re going to move on to the second segment,first,2
Joe Biden,that was really a productive segment wasn’t it keep yapping man,first,3
Donald Trump,the people understand joe,first,2
Joe Biden,they sure do,first,2
Donald Trump,47 years you’ve done nothing they’re understand,first,2
mediator_1,all right the second subject is covid19 which is an awfully serious subject so let’s try to be serious about it we have had more than seven million cases of coronavirus in the united states and more than 200000 people have died even after we produce a vaccine experts say that it could be months or even years before we come back to anything approaching normal my question for both of you is based on what you have said and done so far and what you have said you would do starting in 2021 why should the american people trust you more than your opponent to deal with this public health crisis going forward in this case the question goes to you first sir two minutes uninterrupted,first,2
Joe Biden,good luck 200000 dead as you said over seven million infected in the united states we in fact have 4 of the world’s population 20 of the deaths 40000 people a day are contracting covid in addition to that about between 750 and 1000 people a day are dying when he was presented with that number he said “it is what it is” well it is what it is because you are who you are that’s why it is the president has no plan he hasn’t laid out anything he knew all the way back in february how serious this crisis was he knew it was a deadly disease what did he do he’s on tape as acknowledging he knew it he said he didn’t tell us or give people a warning of it because he didn’t want to panic the american people you don’t panic he panicked in addition to that what did he do,first,2
Joe Biden,he went in and we were insisting that the people we had in the ground in china should be able to go to wuhan and determine for themselves how dangerous this was he did not even ask xi to do that,first,2
Donald Trump,wrong,first,1
Joe Biden,he told us what a great job xi was doing he said we owe him debt of gratitude for being so transparent with us and what did he do then he then did nothing he waited and waited and waited he still doesn’t have a plan,first,1
Donald Trump,wrong,first,1
mediator_1,sir it’s his two minutes,first,2
Donald Trump,it’s so wrong,first,1
Joe Biden,i laid out back in march exactly what we should be doing and i laid out again in july what we should be doing we should be providing all the protective gear possible we should be providing the money the house has passed in order to be able to go out and get people the help they need to keep their businesses open open schools cost a lot of money you should get out of your bunker and get out of the sand trap in your golf course and go in the oval office and bring together the democrats and republicans and fund what needs to be done now to save lives,first,2
Donald Trump,so if we would have listened to you,first,2
mediator_1,wait wait you have two minutes sir,first,2
Donald Trump,if we would’ve listened to you the country would have been left wide open millions of people would have died not 200000 and one person is too much it’s china’s fault it should have never happened they stopped it from going in but it was china’s fault and by the way when you talk about numbers you don’t know how many people died in china you don’t know how many people died in russia you don’t know how many people died in india they don’t exactly give you a straight count just so you understand but if you look at what we’ve done i closed it and you said “he’s xenophobic he’s a racist and he’s xenophobic” because you didn’t think i should have closed our country wait a minute,first,1
mediator_1,sir it’s his two minutes,first,2
Donald Trump,you didn’t think we should have closed our country because you thought it was terrible you wouldn’t have closed it for another two months by my doing it early in fact dr fauci said “president trump saved thousands of lives” many of your democrat governors said “president trump did a phenomenal job” we worked with the governor oh really go take a look the governors said i did a phenomenal job most of them said that in fact people that would not be necessarily on my side said that “president trump did a phenomenal job” we did we got the gowns we got the masks we made the ventilators you wouldn’t have made ventilators and now we’re weeks away from a vaccine we’re doing therapeutics already fewer people are dying when they get sick far fewer people are dying we’ve done a great job,first,3
Donald Trump,the only thing i haven’t done a good job and that’s because of the fake news no matter what you say to them they give you a bad press on it it’s just fake news they give you good press they give me bad press because that’s the way it is unfortunately but let me just say something i don’t care i’ve gotten used to it but i’ll tell you joe you could never have done the job that we did you don’t have it in your blood you could’ve never done that joe,first,1
